,Category,Distance,Radian
126,veggiecabbage,0.31950000000000006,-2.869
127,veggiecabbage,0.23250000000000004,-1.948
128,veggiecabbage,0.25950000000000006,2.452
129,veggiecabbage,0.35900000000000004,-2.491
130,veggiecabbage,0.2705000000000001,2.277
131,veggiecabbage,0.21450000000000014,-2.472
132,veggiecabbage,0.1805000000000001,-1.016
133,veggiecabbage,0.2815000000000001,-2.51
134,veggiecabbage,0.30300000000000005,2.779
135,veggiecabbage,0.27800000000000014,-2.692
136,veggiecabbage,0.1915,-1.349
137,veggiecabbage,0.3075,-2.239
138,veggiecabbage,0.2575,2.549
139,veggiecabbage,0.2815000000000001,3.005
140,veggiecabbage,0.11550000000000005,-0.048
141,veggiecabbage,0.3415,2.034
142,veggiecabbage,0.25850000000000006,-0.222
143,veggiecabbage,0.08250000000000013,0.507
144,veggiecabbage,0.28950000000000004,-2.224
145,veggiecabbage,0.2725,1.982
146,veggiecabbage,0.2845,-2.248
147,veggiecabbage,0.29000000000000004,-2.248
148,veggiecabbage,0.31750000000000006,-3.129
149,veggiecabbage,0.21400000000000008,2.644
150,veggiecabbage,0.2535,2.282
151,veggiecabbage,0.2715,-0.44
152,veggiecabbage,0.19800000000000006,1.726
153,veggiecabbage,0.274,1.313
154,veggiecabbage,0.17400000000000004,0.87
155,veggiecabbage,0.21000000000000008,-0.377
156,veggiecabbage,0.29200000000000004,3.018
157,veggiecabbage,0.20750000000000002,1.961
158,veggiecabbage,0.26050000000000006,-0.123
159,veggiecabbage,0.24650000000000005,0.901
160,veggiecabbage,0.30150000000000005,2.064
161,veggiecabbage,0.23299999999999998,0.081
162,veggiecabbage,0.2885,2.033
163,veggiecabbage,0.10050000000000003,0.177
164,veggiecabbage,0.15250000000000002,-0.033
165,veggiecabbage,0.21150000000000002,1.435
166,veggiecabbage,0.277,-1.546
167,veggiecabbage,0.16000000000000014,-0.373
168,veggiecabbage,0.18550000000000005,1.184
169,veggiecabbage,0.34650000000000003,-2.767
170,veggiecabbage,0.23850000000000005,0.08
171,veggiecabbage,0.35650000000000004,-2.891
172,veggiecabbage,0.3415,-2.937
173,veggiecabbage,0.17150000000000004,-1.967
174,veggiecabbage,0.3075,1.996
175,veggiecabbage,0.1250000000000001,-0.733
176,veggiecabbage,0.323,3.007
177,veggiecabbage,0.24,-1.976
178,veggiecabbage,0.21150000000000002,-0.969
179,veggiecabbage,0.2400000000000001,2.375
180,veggiecabbage,0.16750000000000004,-1.5
181,veggiecabbage,0.2380000000000001,-0.201
182,veggiecabbage,0.29850000000000004,1.505
183,veggiecabbage,0.29700000000000004,-2.602
184,veggiecabbage,0.2905,-1.536
185,veggiecabbage,0.258,0.503
186,veggiecabbage,0.41150000000000003,-0.027
187,veggiecabbage,0.2290000000000001,-1.237
188,veggiecabbage,0.22950000000000004,2.194
189,veggiecabbage,0.22899999999999998,1.876
190,veggiecabbage,0.20350000000000013,0.822
191,veggiecabbage,0.11750000000000005,0.116
192,veggiecabbage,0.22350000000000003,0.702
193,veggiecabbage,0.25750000000000006,1.197
194,veggiecabbage,0.22399999999999998,1.257
195,veggiecabbage,0.22299999999999998,-1.937
196,veggiecabbage,0.29000000000000004,1.249
197,veggiecabbage,0.3115,0.482
198,veggiecabbage,0.3495000000000001,1.273
199,veggiecabbage,0.2885,-3.006
200,veggiecabbage,0.2995,0.745
201,veggiecabbage,0.20750000000000002,-0.931
202,veggiecabbage,0.13450000000000006,1.649
203,veggiecabbage,0.16850000000000004,0.54
204,veggiecabbage,0.33000000000000007,2.483
205,veggiecabbage,0.26350000000000007,2.444
206,veggiecabbage,0.247,-1.112
207,veggiecabbage,0.278,2.448
208,veggiecabbage,0.323,-2.43
209,veggiecabbage,0.25650000000000006,-1.357
210,veggiecabbage,0.1785,1.422
211,veggiecabbage,0.42800000000000005,-2.252
212,veggiecabbage,0.21799999999999997,2.73
213,veggiecabbage,0.20600000000000007,1.686
214,veggiecabbage,0.135,1.673
215,veggiecabbage,0.1945,-2.221
216,veggiecabbage,0.21400000000000008,-0.282
217,veggiecabbage,0.15300000000000002,0.155
218,veggiecabbage,0.23850000000000005,-0.955
219,veggiecabbage,0.2405,-0.598
220,veggiecabbage,0.266,-0.618
221,veggiecabbage,0.31800000000000006,1.481
222,veggiecabbage,0.35250000000000004,-2.416
223,veggiecabbage,0.36100000000000004,0.2
224,veggiecabbage,0.20750000000000002,-0.244
225,veggiecabbage,0.41300000000000003,1.772
226,veggiecabbage,0.278,1.346
227,veggiecabbage,0.13900000000000012,0.555
228,veggiecabbage,0.15550000000000003,1.98
229,veggiecabbage,0.16749999999999998,0.345
230,veggiecabbage,0.3795,-3.104
231,veggiecabbage,0.2025,-0.586
232,veggiecabbage,0.2735000000000001,-2.194
233,veggiecabbage,0.17700000000000005,-0.99
234,veggiecabbage,0.22399999999999998,-0.432
235,veggiecabbage,0.19250000000000012,1.554
236,veggiecabbage,0.16550000000000004,-2.147
237,veggiecabbage,0.29350000000000004,2.462
238,veggiecabbage,0.26,-2.863
239,veggiecabbage,0.35550000000000004,0.405
240,veggiecabbage,0.1925,-0.018
241,veggiecabbage,0.26050000000000006,-0.527
242,veggiecabbage,0.1875,-1.18
243,veggiecabbage,0.4135,-2.73
244,veggiecabbage,0.14200000000000002,-0.999
245,veggiecabbage,0.21599999999999997,1.047
246,veggiecabbage,0.2300000000000001,-1.317
247,veggiecabbage,0.2430000000000001,1.893
248,veggiecabbage,0.2745,-0.477
249,veggiecabbage,0.19350000000000012,0.716
250,veggiecabbage,0.13000000000000012,0.872
251,veggiecabbage,0.21550000000000014,0.833
252,veggiecabbage,0.25850000000000006,-1.27
253,veggiecabbage,0.20250000000000012,-1.99
254,veggiecabbage,0.25050000000000006,1.753
255,veggiecabbage,0.245,3.098
256,veggiecabbage,0.28700000000000003,2.942
257,veggiecabbage,0.31350000000000006,2.312
258,veggiecabbage,0.15350000000000003,1.186
259,veggiecabbage,0.2795000000000001,-2.935
260,veggiecabbage,0.09199999999999997,0.261
261,veggiecabbage,0.2785,-2.901
262,veggiecabbage,0.39350000000000007,1.697
263,veggiecabbage,0.3215,-2.57
264,veggiecabbage,0.08650000000000002,-0.574
265,veggiecabbage,0.28049999999999997,-2.374
266,veggiecabbage,0.20950000000000002,-2.624
267,veggiecabbage,0.25350000000000006,1.56
268,veggiecabbage,0.2795,2.189
269,veggiecabbage,0.22699999999999998,-0.427
270,veggiecabbage,0.3905,-0.754
271,veggiecabbage,0.2680000000000001,-1.855
272,veggiecabbage,0.19100000000000006,2.383
273,veggiecabbage,0.21650000000000003,0.573
274,veggiecabbage,0.25950000000000006,0.562
275,veggiecabbage,0.31800000000000006,1.768
276,veggiecabbage,0.1815,0.44
277,veggiecabbage,0.3235,3.038
278,veggiecabbage,0.3395000000000001,0.629
279,veggiecabbage,0.15900000000000003,-0.344
280,veggiecabbage,0.23950000000000005,-0.355
281,veggiecabbage,0.124,0.959
282,veggiecabbage,0.37750000000000006,-2.348
283,veggiecabbage,0.21750000000000003,-1.72
284,veggiecabbage,0.2025,0.433
285,veggiecabbage,0.25450000000000006,-2.584
286,veggiecabbage,0.21550000000000014,2.575
287,veggiecabbage,0.12350000000000005,-0.95
288,veggiecabbage,0.256,1.484
289,veggiecabbage,0.4035,-1.649
290,veggiecabbage,0.16100000000000003,0.096
291,veggiecabbage,0.2885000000000001,-2.517
292,veggiecabbage,0.325,2.015
293,veggiecabbage,0.23350000000000004,-0.338
294,veggiecabbage,0.15000000000000013,-0.883
295,veggiecabbage,0.34450000000000003,2.958
296,veggiecabbage,0.20650000000000002,1.053
297,veggiecabbage,0.28900000000000003,-1.65
298,veggiecabbage,0.16800000000000004,2.987
299,veggiecabbage,0.30400000000000005,1.855
300,veggiecabbage,0.18700000000000006,1.947
301,veggiecabbage,0.17850000000000005,-1.204
302,veggiecabbage,0.1775000000000001,1.823
303,veggiecabbage,0.1905000000000001,2.593
304,veggiecabbage,0.28800000000000003,1.743
305,veggiecabbage,0.15450000000000003,0.189
306,veggiecabbage,0.4625,2.558
307,veggiecabbage,0.26550000000000007,-2.768
308,veggiecabbage,0.1715000000000001,0.19
309,veggiecabbage,0.19950000000000012,-0.575
310,veggiecabbage,0.26550000000000007,2.994
311,veggiecabbage,0.2415,0.791
312,veggiecabbage,0.25850000000000006,1.048
313,veggiecabbage,0.2240000000000001,1.467
314,veggiecabbage,0.21150000000000013,-0.858
315,veggiecabbage,0.20600000000000007,-0.127
316,veggiecabbage,0.321,2.308
317,veggiecabbage,0.1100000000000001,-0.492
318,veggiecabbage,0.242,-2.123
319,veggiecabbage,0.22199999999999998,-1.285
320,veggiecabbage,0.21400000000000008,0.337
321,veggiecabbage,0.1845000000000001,0.528
322,veggiecabbage,0.25750000000000006,1.27
323,veggiecabbage,0.3655000000000001,-1.97
324,veggiecabbage,0.30300000000000005,-1.869
325,veggiecabbage,0.24750000000000005,-1.178
326,veggiecabbage,0.22050000000000003,2.184
327,veggiecabbage,0.133,-0.892
328,veggiecabbage,0.1675000000000001,1.506
329,veggiecabbage,0.239,1.762
330,veggiecabbage,0.335,2.997
331,veggiecabbage,0.18300000000000005,2.383
332,veggiecabbage,0.2310000000000001,1.686
333,veggiecabbage,0.30600000000000005,-1.849
334,veggiecabbage,0.16949999999999998,-0.565
335,veggiecabbage,0.10350000000000004,0.057
336,veggiecabbage,0.28850000000000003,1.849
337,veggiecabbage,0.22799999999999998,3.003
338,veggiecabbage,0.31700000000000006,-2.399
339,veggiecabbage,0.32050000000000006,-2.9
340,veggiecabbage,0.3845,2.869
341,veggiecabbage,0.23750000000000004,0.495
342,veggiecabbage,0.28150000000000003,2.228
343,veggiecabbage,0.18800000000000006,-1.039
344,veggiecabbage,0.23099999999999998,-0.357
345,veggiecabbage,0.21999999999999997,-2.34
346,veggiecabbage,0.22099999999999997,1.016
347,veggiecabbage,0.24550000000000005,2.021
348,veggiecabbage,0.18500000000000005,2.697
349,veggiecabbage,0.39150000000000007,-2.87
350,veggiecabbage,0.2580000000000001,-1.687
351,veggiecabbage,0.16300000000000003,-0.943
352,veggiecabbage,0.28150000000000003,-2.4
353,veggiecabbage,0.27800000000000014,-1.984
354,veggiecabbage,0.2815,2.08
355,veggiecabbage,0.396,-2.65
356,veggiecabbage,0.4485,1.932
357,veggiecabbage,0.23299999999999998,-1.279
358,veggiecabbage,0.2260000000000001,-2.813
359,veggiecabbage,0.2755,0.357
360,veggiecabbage,0.28200000000000003,-1.462
361,veggiecabbage,0.28700000000000014,-2.907
362,veggiecabbage,0.27000000000000013,-1.576
363,veggiecabbage,0.36850000000000005,-1.843
364,veggiecabbage,0.3445000000000001,-0.553
365,veggiecabbage,0.266,2.963
366,veggiecabbage,0.38200000000000006,-2.688
367,veggiecabbage,0.1250000000000001,-0.094
368,veggiecabbage,0.31600000000000006,2.972
369,veggiecabbage,0.1885,0.07
370,veggiecabbage,0.22750000000000004,-1.247
371,veggiecabbage,0.331,-0.475
372,veggiecabbage,0.14850000000000008,-1.241
373,veggiecabbage,0.246,1.222
374,veggiecabbage,0.31000000000000005,-0.992
375,veggiecabbage,0.36100000000000004,-2.638
376,veggiecabbage,0.10450000000000004,1.065
377,veggiecabbage,0.27,-2.034
378,veggiecabbage,0.21550000000000002,0.4
379,veggiecabbage,0.281,2.098
380,veggiecabbage,0.4015000000000001,0.028
381,veggiecabbage,0.21450000000000014,0.144
382,veggiecabbage,0.28800000000000003,2.793
383,veggiecabbage,0.122,-1.315
384,veggiecabbage,0.3185,0.462
385,veggiecabbage,0.2935,-2.928
386,veggiecabbage,0.29750000000000004,-2.213
387,veggiecabbage,0.22350000000000003,2.664
388,veggiecabbage,0.1265,0.038
389,veggiecabbage,0.1835,1.761
390,veggiecabbage,0.28500000000000014,-1.246
391,veggiecabbage,0.25550000000000006,-1.926
