,Action,Movable,Surface,x,y,z,yaw,dx,run_name
81,pick,veggietomato,box,0.20599999999999996,-0.03400000000000003,0.07700000000000018,2.592,0.1745000000000001,/_gmm/464
82,pick,veggietomato,box,0.27199999999999996,-0.06299999999999972,0.07700000000000018,2.698,0.13150000000000006,/_gmm/467
83,pick,veggietomato,box,0.338,0.5589999999999997,0.07700000000000018,1.1,0.0655,/_gmm/476
84,pick,veggietomato,box,0.245,0.2709999999999999,0.07700000000000018,3.106,0.133,/_gmm/483
85,pick,veggietomato,box,0.20799999999999996,0.5509999999999997,0.07700000000000018,1.601,0.1725000000000001,/_gmm/490
86,pick,veggietomato,box,0.10399999999999998,-0.04799999999999982,0.07600000000000007,3.046,0.19350000000000006,/_gmm/495
87,pick,veggietomato,box,0.338,0.3089999999999997,0.07700000000000018,1.51,0.0655,/_gmm/508
88,pick,veggietomato,box,0.26499999999999996,0.025999999999999995,0.07700000000000018,2.568,0.13850000000000007,/_gmm/536
89,pick,veggietomato,box,0.24,0.20899999999999985,0.07700000000000018,0.535,0.14050000000000007,/_gmm/557
90,pick,veggietomato,box,0.266,-0.01100000000000012,0.07700000000000018,2.865,0.11450000000000005,/_gmm/559
91,pick,veggietomato,box,0.24399999999999994,-0.014000000000000234,0.07700000000000018,3.14,0.16000000000000014,/_gmm/563
92,pick,veggietomato,box,0.195,0.08000000000000007,0.07600000000000007,1.831,0.10250000000000004,/_gmm/569
93,pick,veggietomato,box,0.21599999999999997,-0.025000000000000022,0.07700000000000018,2.453,0.16200000000000003,/_gmm/573
94,pick,veggietomato,box,0.28400000000000003,0.0129999999999999,0.07700000000000018,2.089,0.09650000000000003,/_gmm/574
95,pick,veggietomato,box,0.22599999999999998,0.07800000000000001,0.07700000000000018,2.028,0.15200000000000002,/_gmm/580
96,pick,veggietomato,box,0.284,-0.0129999999999999,0.07700000000000018,2.907,0.1200000000000001,/_gmm/590
97,pick,veggietomato,box,0.16199999999999998,0.11300000000000043,0.07600000000000007,1.04,0.13550000000000006,/_gmm/599
98,pick,veggietomato,box,0.326,0.119,0.07700000000000018,0.637,0.07800000000000007,/_gmm/605
99,pick,veggietomato,box,0.26099999999999995,0.08999999999999986,0.07700000000000018,2.772,0.14250000000000007,/_gmm/607
100,pick,veggietomato,box,0.251,-0.13700000000000045,0.07700000000000018,1.347,0.12950000000000006,/_gmm/610
101,pick,veggietomato,box,0.246,-0.20000000000000018,0.07700000000000018,3.065,0.132,/_gmm/620
102,pick,veggietomato,box,0.15299999999999997,0.055000000000000604,0.07699999999999996,2.843,0.11250000000000004,/_gmm/623
103,pick,veggietomato,box,0.30599999999999994,-0.030999999999999917,0.07700000000000018,1.683,0.07200000000000006,/_gmm/626
104,pick,veggietomato,box,0.34600000000000003,0.3410000000000002,0.07700000000000018,0.493,0.057499999999999996,/_gmm/627
105,pick,veggietomato,box,0.21799999999999997,0.10099999999999998,0.07700000000000018,2.522,0.1625000000000001,/_gmm/632
106,pick,veggietomato,box,0.31099999999999994,-0.030999999999999917,0.07700000000000018,1.511,0.06700000000000006,/_gmm/645
107,pick,veggietomato,box,0.27899999999999997,0.4579999999999993,0.07700000000000018,2.636,0.12450000000000006,/_gmm/669
108,pick,veggietomato,box,0.235,-0.25100000000000033,0.07700000000000018,0.077,0.14300000000000002,/_gmm/685
109,pick,veggietomato,box,0.15499999999999997,0.15,0.07699999999999996,1.931,0.11050000000000004,/_gmm/686
110,pick,veggietomato,box,0.21699999999999997,-0.031000000000000028,0.07700000000000018,1.254,0.1635000000000001,/_gmm/687
111,pick,veggietomato,box,0.29000000000000004,0.21699999999999964,0.07700000000000018,2.974,0.08799999999999997,/_gmm/702
112,pick,veggietomato,box,0.28600000000000003,0.02300000000000002,0.07700000000000018,1.073,0.09199999999999997,/_gmm/704
113,pick,veggietomato,box,0.16699999999999998,0.133,0.07699999999999996,0.392,0.09850000000000003,/_gmm/717
114,pick,veggietomato,box,0.24500000000000005,-0.4289999999999994,0.07700000000000018,2.675,0.15849999999999997,/_gmm/741
